"","pcode","name","visit_date","province","workers_numb","access_dry","access_wet","mineral1","mineral2","mineral3","mercury","interference","armed_group1","frequency_armed_group1","armed_group2","frequency_armed_group2","armed_group3","frequency_armed_group3","state_service1","state_service2","state_service3","state_service4","itsci","qualification","childunder15","childunder15work","project"
"206","codmine02704","Guerite",2021-07-05,"Ituri",35,"Less than 2h walk","Less than 2h walk","Or",NA,NA,"None observed","Observed","FARDC","Une fois tous les 15 jours",NA,NA,NA,NA,"SAEMAPE","Division des mines","Direction Générale des recettes provinciales d'ituri (DGRPI)",NA,"No traceability program","None","Observed","Creuser, Creuser sous terre, Lavage, Transport des minerais, Traiter les déchets","IPIS - Madini"
"207","codmine02705","Sombe ya Batoto",2021-09-16,"Ituri",60,"Less than 2h walk","Less than 2h walk","Or",NA,NA,"None observed","Observed","Groupe de bandits armés","Aléatoire",NA,NA,NA,NA,"SAEMAPE","Division des mines","Direction Générale des recettes provinciales d'ituri",NA,"No traceability program","None","Observed","Creuser, Concassage, Lavage, Transport des minerais, Traiter les déchets","IPIS - Madini"
"208","codmine02706","10 ans étoile du ciel",2021-06-30,"Ituri",111,"Car or Motorbike","Car or Motorbike","Or",NA,NA,"Observed","None observed","FARDC","Aléatoire",NA,NA,NA,NA,"SAEMAPE","Division des mines","Direction Générale des recettes provinciales d'ituri (DGRPI)",NA,"No traceability program","None","None observed",NA,"IPIS - Madini"
"209","codmine02715","Mandimo 2",2021-07-20,"Ituri",21,"Less than 2h walk","Less than 2h walk","Or",NA,NA,"None observed","None observed","FARDC","Aléatoire",NA,NA,NA,NA,"Division des mines","Direction Générale des recettes provinciales d'ituri (DGRPI)",NA,NA,"No traceability program","None","None observed",NA,"IPIS - Madini"
"210","codmine02721","Kandate",2021-07-16,"Ituri",25,"Car or Motorbike","Car or Motorbike","Or",NA,NA,"Observed","None observed","FARDC","Aléatoire",NA,NA,NA,NA,"SAEMAPE","Division des mines","Direction Générale des recettes provinciales d'ituri (DGRPI)",NA,"No traceability program","None","None observed",NA,"IPIS - Madini"
"211","codmine02722","Mangombo",2021-06-21,"Ituri",300,"Car or Motorbike","Car or Motorbike","Or",NA,NA,"Observed","Observed","FARDC","Quotidien","Police Nationale Congolaise (sauf PMH)","Aléatoire",NA,NA,"SAEMAPE","Division des mines","Afridex","Direction Générale des recettes provinciales d'ituri","No traceability program","None","Observed","Concassage, Transport des minerais","IPIS - Madini"
"212","codmine02727","Safari bado",2021-06-20,"Ituri",400,"Car or Motorbike","Car or Motorbike","Or",NA,NA,"Observed","Observed","FARDC","Aléatoire",NA,NA,NA,NA,"SAEMAPE","Division des mines","Direction Générale des recettes provinciales d'ituri",NA,"No traceability program","None","Observed","Concassage, Lavage, Traiter les déchets","IPIS - Madini"
"213","codmine02747","Ngulu Ya Mabwe",2022-09-09,"Tanganyika",28,"Car or Motorbike","Car or Motorbike","Coltan",NA,NA,"No data","None observed","FARDC","Aléatoire",NA,NA,NA,NA,"SAEMAPE",NA,NA,NA,"iTSCI","Vert","Observed","Creuser, Lavage, Traiter les déchets","IPIS - USAID"
"214","codmine02777","Djimbwe",2021-11-20,"Tanganyika",106,"Less than 2h walk","Less than 2h walk","Coltan",NA,NA,"No data","Observed","FARDC","Quotidien",NA,NA,NA,NA,"SAEMAPE","Division des mines","Groupement",NA,"iTSCI","Vert","None observed",NA,"IPIS - USAID"
"215","codmine02778","Kamangungulu",2021-05-22,"Sud-Kivu",150,"Less than 2h walk","Less than 2h walk","Cassitérite","Coltan",NA,"No data","Observed","FARDC","Aléatoire",NA,NA,NA,NA,"SAEMAPE","Division des mines",NA,NA,"iTSCI","Vert","Observed","Creuser","IPIS - Madini"
