Unnamed: 0,name,visit_date,province,workers_numb,mineral1,mineral2,mineral3,mercury,interference,armed_group1,armed_group2,armed_group3,state_service1,state_service2,state_service3,state_service4,childunder15work
181,Amabidi,2022-07-21,Maniema,185,Cassitérite,,,No data,Observed,FARDC,,,SAEMAPE,Division des mines,Groupement,DGRMA,
182,Malewa,2022-07-21,Maniema,0,Cassitérite,,,No data,None observed,,,,,,,,
183,Ketamu wafanya bien,2022-07-21,Maniema,0,Cassitérite,,,No data,None observed,,,,,,,,
184,Boma,2022-07-23,Maniema,0,Cassitérite,,,No data,None observed,,,,,,,,
185,Katanga III,2022-07-24,Maniema,0,Cassitérite,,,No data,None observed,,,,,,,,
186,Katanga I,2022-07-23,Maniema,75,Cassitérite,,,No data,None observed,,,,SAEMAPE,Division des mines,,ANR,"Creuser, Lavage, Traiter les déchets"
187,Katanga II,2022-07-23,Maniema,0,Cassitérite,,,No data,None observed,,,,,,,,
188,Ocean,2022-07-23,Maniema,103,Cassitérite,,,No data,None observed,,,,SAEMAPE,Division des mines,,,"Creuser, Lavage, Traiter les déchets"
189,Simunofu,2022-07-23,Maniema,87,Cassitérite,,,No data,None observed,,,,SAEMAPE,Division des mines,,ANR,"Lavage, Traiter les déchets"
190,Kamabeya,2022-07-23,Maniema,0,Cassitérite,,,No data,None observed,,,,,,,,
191,Metsera,2022-08-04,Maniema,140,Cassitérite,Wolframite,,No data,None observed,,,,SAEMAPE,Division des mines,,,"Creuser, Lavage, Traiter les déchets"
192,Niveau 120/Lonyoma,2022-08-03,Maniema,75,Cassitérite,Wolframite,,No data,None observed,,,,SAEMAPE,Division des mines,,,"Creuser, Lavage, Traiter les déchets"
193,B49,2022-08-03,Maniema,160,Cassitérite,Wolframite,,No data,None observed,,,,SAEMAPE,Division des mines,,,"Creuser, Concassage, Lavage, Traiter les déchets"
194,Nyakilego,2022-08-22,Sud-Kivu,0,Wolframite,,,No data,None observed,,,,,,,,
195,Kamabondo,2021-10-28,Sud-Kivu,40,Or,,,None observed,None observed,,,,SAEMAPE,Division des mines,,,
196,Cubage Centre,2021-10-26,Sud-Kivu,100,Or,,,None observed,Observed,FARDC,,,SAEMAPE,Division des mines,Chefferie,,"Creuser, Lavage"
197,Tokolonga,2021-11-10,Sud-Kivu,15,Or,,,None observed,None observed,,,,SAEMAPE,Division des mines,,Chefferie,
198,Moba 1,2021-11-05,Sud-Kivu,300,Or,,,Observed,Observed,FARDC,Police Nationale Congolaise (sauf PMH),,SAEMAPE,Division des mines,,Chefferie,"Traiter les déchets, Transport des cailloux vers le concasseur"
199,Kanyuki,2021-11-08,Sud-Kivu,600,Or,,,Observed,Observed,FARDC,Police Nationale Congolaise (sauf PMH),,SAEMAPE,Division des mines,Chefferie,,"Creuser, Concassage, Lavage, Transport des minerais, Traiter les déchets"
200,Tusongembele,2021-11-08,Sud-Kivu,50,Or,,,None observed,Observed,FARDC,Police Nationale Congolaise (sauf PMH),,SAEMAPE,Division des mines,,Chefferie,
201,Lukonyala,2021-11-06,Sud-Kivu,300,Or,,,None observed,Observed,FARDC,Police Nationale Congolaise (sauf PMH),,SAEMAPE,Division des mines,,Chefferie,
202,Pembeliba,2021-11-15,Sud-Kivu,24,Or,,,None observed,None observed,,,,SAEMAPE,Division des mines,,Chefferie,Creuser
203,Kaneto 2,2021-11-12,Sud-Kivu,30,Or,,,None observed,Observed,FARDC,Police Nationale Congolaise (sauf PMH),,SAEMAPE,Division des mines,,Chefferie,
